,Genus,species,Institution,No.,Origin,Element,3rd Molar,2nd Molar,1st Molar,4 Premolar,Side,ldp3,ldp2
Hippotragini,Hippotragus,equinus,NMB,191,,maxilla,3952,3953,3954,3955,left,,
Hippotragini,Hippotragus,equinus,NMB,196,,maxilla,3957,3958,3959,3960,left,,
Hippotragini,Hippotragus,equinus,NMB,887,,maxilla,,3961,3962,3963 ldp4,left,3964,
Hippotragini,Hippotragus,equinus,NMB,unnumbered,,maxilla,3965,3967,3968,3969 ldp4,left,3970,3971
Hippotragini,Hippotragus,equinus,TM,AZ 1133,,maxilla,5767,5768,5769,5770,left,,
Hippotragini,Hippotragus,equinus,TM,AZ 1565,,maxilla,5771,5772,,5773,left,,
Hippotragini,Hippotragus,equinus,TM,17113,,maxilla,5774,5775,5776,5777,left,,
Hippotragini,Hippotragus,equinus,TM,12072,,maxilla,5778,5779,5780,5781 RIGHT,left,,
Hippotragini,Hippotragus,equinus,TM,AZ 1591,,maxilla,5782L,,5783L,5784,right,,
Hippotragini,Hippotragus,equinus,TM,3073,,maxilla,5785,5786,5787,5788,left,,
Hippotragini,Hippotragus,equinus,TM,11499,,maxilla,5789,5790,5791,5792,left,don't do 5791,
Hippotragini,Hippotragus,equinus,TM,17065,,maxilla,5793,5794,5795,5796 right,left,,
Hippotragini,Hippotragus,equinus,TM,3079,,maxilla,5797,5798,5799,,left,don't use 5799,
Hippotragini,Hippotragus,equinus,TM,13142,,maxilla,5800,5801,5802,5803,left,,
Hippotragini,Hippotragus,equinus,TM,AZ 2444,,maxilla,5804,5805,5806,5807,left,,
Hippotragini,Hippotragus,equinus,,,,maxilla,,,,,,,
Hippotragini,Hippotragus,equinus,,,,maxilla,,,,,,,
Hippotragini,Hippotragus,equinus,,,,maxilla,,,,,,,
Hippotragini,Hippotragus,equinus,,,,maxilla,,,,,,,
Hippotragini,Hippotragus,equinus,,,,maxilla,,,,,,,
Hippotragini,Hippotragus,equinus,,,,maxilla,,,,,,,
Hippotragini,Hippotragus,equinus,,,,maxilla,,,,,,,
Hippotragini,Hippotragus,equinus,,,,maxilla,,,,,,,
Hippotragini,Hippotragus,equinus,,,,maxilla,,,,,,,
Hippotragini,Hippotragus,equinus,,,,maxilla,,,,,,,
Hippotragini,Hippotragus,equinus,,,,maxilla,,,,,,,
Hippotragini,Hippotragus,equinus,,,,maxilla,,,,,,,
Hippotragini,Hippotragus,equinus,,,,maxilla,,,,,,,
Hippotragini,Hippotragus,equinus,,,,maxilla,,,,,,,
Hippotragini,Hippotragus,equinus,,,,maxilla,,,,,,,
,,,,,,,,,,,,,
Hippotragini,Hippotragus,equinus,NMB,887,,mandible,3972,3973,3974,3975 ldp4,left,,
Hippotragini,Hippotragus,equinus,NMB,191,,mandible,3978,3979L,3980L,3981,right,,
Hippotragini,Hippotragus,equinus,TM,AZ 2444,,mandible,5808,5809,5810,5811,left,,
Hippotragini,Hippotragus,equinus,TM,AZ 1133,,mandible,5812,5813,5814,5815,left,,
Hippotragini,Hippotragus,equinus,TM,12072,,mandible,5816,5817,5818,5819,left,,
Hippotragini,Hippotragus,equinus,TM,AZ 1591,,mandible,5820,5821,5822,5824,left,,
Hippotragini,Hippotragus,equinus,TM,3075,,mandible,5825,5826,5827,,left,,
Hippotragini,Hippotragus,equinus,TM,3079,,mandible,5828,5829,5830,5831,left,,
Hippotragini,Hippotragus,equinus,TM,3072,,mandible,5832,5833L,5834L,5835,right,,
Hippotragini,Hippotragus,equinus,TM,17065,,mandible,5836,5837,5838,5839,left,,
Hippotragini,Hippotragus,equinus,TM,AZ 1565,,mandible,5840L,5841,,,left,"5840 was right, made left",
Hippotragini,Hippotragus,equinus,TM,13142,,mandible,5842,5843,5844,5845,left,,
Hippotragini,Hippotragus,equinus,TM,11499,,mandible,5846,5847,5848,5849,left,,
Hippotragini,Hippotragus,equinus,TM,,,mandible,,,,,,,
Hippotragini,Hippotragus,equinus,TM,,,mandible,,,,,,,
Hippotragini,Hippotragus,equinus,TM,,,mandible,,,,,,,
Hippotragini,Hippotragus,equinus,TM,,,mandible,,,,,,,
Hippotragini,Hippotragus,equinus,TM,,,mandible,two mandible in Hippotragini file,,,,,,
Hippotragini,Hippotragus,equinus,TM,,,mandible,,,,,,,
Hippotragini,Hippotragus,equinus,TM,,,mandible,,,,,,,
Hippotragini,Hippotragus,equinus,TM,,,mandible,,,,,,,
Hippotragini,Hippotragus,equinus,TM,,,mandible,,,,,,,
Hippotragini,Hippotragus,equinus,TM,,,mandible,,,,,,,
Hippotragini,Hippotragus,equinus,TM,,,mandible,,,,,,,
Hippotragini,Hippotragus,equinus,TM,,,mandible,,,,,,,
Hippotragini,Hippotragus,equinus,TM,,,mandible,,,,,,,
Hippotragini,Hippotragus,equinus,TM,,,mandible,,,,,,,
Hippotragini,Hippotragus,equinus,TM,,,mandible,,,,,,,
Hippotragini,Hippotragus,equinus,TM,,,mandible,,,,,,,
Hippotragini,Hippotragus,equinus,TM,,,mandible,,,,,,,
