,Genus,species,sub,Institution,No.,Origin,Element,3rd Molar,2nd Molar,1st Molar,4 Premolar,Side,,,
Reduncini,Kobus,ellipsiprymnus,,NMB,128,,maxilla,3529,3530,3531,,left,3529 too broken to use,,
Reduncini,Kobus,ellipsiprymnus,,NMB,124,,maxilla,3532L,,,,right,,,
Reduncini,Kobus,ellipsiprymnus,,NMB,136,,maxilla,3533,3534,,,,,,
Reduncini,Kobus,ellipsiprymnus,,NMB,134,,maxilla,3535,,,,,,,
Reduncini,Kobus,ellipsiprymnus,,NMB,135,,maxilla,3538,3539,3540,,left,,,
Reduncini,Kobus,ellipsiprymnus,,NMB,6017,,maxilla,3614L,3615L,3616L,3617,right,,,
Reduncini,Kobus,ellipsiprymnus,,NMB,9336,,maxilla,3618,3619,3620,3621,left,,,
Reduncini,Kobus,ellipsiprymnus,,TM,13196,,maxilla,6425,6426,6427,6428,left,,,
Reduncini,Kobus,ellipsiprymnus,,TM,16698,,maxilla,6429,6430,6431L,6432,left,do not use 6430,,6431 was right
Reduncini,Kobus,ellipsiprymnus,,TM,12083,,maxilla,6433,6434,6435,6436,left,,,
Reduncini,Kobus,ellipsiprymnus,,TM,12070,,maxilla,6437,6438,6439,6440,left,,,
Reduncini,Kobus,ellipsiprymnus,,TM,AZ 976,,maxilla,6441,6442,6443,6444,left,,,
Reduncini,Kobus,ellipsiprymnus,,TM,16701,,maxilla,6445,6446,6447,6448,left,,,
Reduncini,Kobus,ellipsiprymnus,,TM,16693,,maxilla,6449L,6450L,6451L,6452,right,,,
Reduncini,Kobus,ellipsiprymnus,,TM,AZ 3091,,maxilla,6453L,6454L,6455L,6456,right,do not use 6453- too fuzzy and broken,,
Reduncini,Kobus,ellipsiprymnus,,TM,3813,,maxilla,6457,6458,6459,6460 RIGHT,left,,,
Reduncini,Kobus,ellipsiprymnus,,TM,AZ 2277,,maxilla,6461L,6462L,6463L,6464,right,,,
Reduncini,Kobus,ellipsiprymnus,,TM,13106,,maxilla,6465,6466,6467,,left,,,
Reduncini,Kobus,ellipsiprymnus,,TM,16692,,maxilla,6468L,6469L,6470L,6471,right,,,
Reduncini,Kobus,ellipsiprymnus,,TM,12074,,maxilla,6472,6473,6474,6475,left,,,
Reduncini,Kobus,ellipsiprymnus,,TM,4216,,maxilla,6476,6477,6478,6479 right,left,,,
Reduncini,Kobus,ellipsiprymnus,,TM,4218,,maxilla,6480,6481,6482L,,left,6482 right,,
Reduncini,Kobus,ellipsiprymnus,,TM,AZ 853,,maxilla,6483,,,6504 RIGHT,left,,,
Reduncini,Kobus,ellipsiprymnus,,TM,12077,,maxilla,6505,6506,6507,6508,left,,,
Reduncini,Kobus,ellipsiprymnus,,TM,13110,,maxilla,6509,6510,6511,6512,left,,,
Reduncini,Kobus,ellipsiprymnus,,TM,3287,,maxilla,6513,6514,6515,6516,left,,,
Reduncini,Kobus,ellipsiprymnus,,TM,3292,,maxilla,6517,6518,6519,6520,left,,,
Reduncini,Kobus,ellipsiprymnus,,TM,3128,,maxilla,6521L,6522L,6523L,,right,,,
Reduncini,Kobus,ellipsiprymnus,,TM,13195,,maxilla,6575,6576,6577,,left,,,
Reduncini,Kobus,ellipsiprymnus,,TM,13103,,maxilla,,6578,6579,6580,left,,,
,,,,,,,,1,3,4,9,,,,
,,,,,,,,,,,,,,,
Reduncini,Kobus,ellipsiprymnus,,NMB,134,,mandible,3541L,3542L,3543L,3544,right,,,
Reduncini,Kobus,ellipsiprymnus,,NMB,8889,,mandible,3545,3546,3547,3548,left,,,
Reduncini,Kobus,ellipsiprymnus,,NMB,8891,,mandible,3549,3551,3552,3553,left,,,
Reduncini,Kobus,ellipsiprymnus,,NMB,8892,,mandible,3554,,3555,3556,left,,,
Reduncini,Kobus,ellipsiprymnus,,NMB,8893,,mandible,3557,3558,3559,3560,left,,,
Reduncini,Kobus,ellipsiprymnus,,NMB,8894,,mandible,3561,3562,3563,3564,left,,,
Reduncini,Kobus,ellipsiprymnus,,NMB,8897,,mandible,3565,3566,3567,3568,left,,,
Reduncini,Kobus,ellipsiprymnus,,NMB,8899,,mandible,3569,3570,3571,3572,left,3571 too broken to use,,
Reduncini,Kobus,ellipsiprymnus,,NMB,8900,,mandible,3573,3574,3575,3576,left,,,
Reduncini,Kobus,ellipsiprymnus,,NMB,A 1373 lot,,mandible,3577,3578,3579,3580,left,,,
Reduncini,Kobus,ellipsiprymnus,,NMB,M 134,,mandible,3581,3582,3583,3584,left,,,
Reduncini,Kobus,ellipsiprymnus,,NMB,12165,,mandible,3585,3586,3587,3588,left,,,
Reduncini,Kobus,ellipsiprymnus,,NMB,8895,,mandible,3589L,3590L,3591/3592L,,right,,,
Reduncini,Kobus,ellipsiprymnus,,NMB,8890,,mandible,3593L,3594/3595L,3596L,3597,right,,,
Reduncini,Kobus,ellipsiprymnus,,NMB,8902,,mandible,3598L,3599L,3600L,3601,right,,,
Reduncini,Kobus,ellipsiprymnus,,NMB,8896,,mandible,3602,3603,3604,3605,left,,,
Reduncini,Kobus,ellipsiprymnus,,NMB,9336,,mandible,3622L,3623L,3624L,3625,right,,,
Reduncini,Kobus,ellipsiprymnus,,TM,3128,,mandible,6524,6525,6526,,left,,,
Reduncini,Kobus,ellipsiprymnus,,TM,3292,,mandible,6527,6528,6529,6530,left,,,
Reduncini,Kobus,ellipsiprymnus,,TM,3287,,mandible,6531,6532L,6533,6534,left,6532 right,,
Reduncini,Kobus,ellipsiprymnus,,TM,12077,,mandible,6535,6536,6537,6538,left,,,
Reduncini,Kobus,ellipsiprymnus,,TM,13102,,mandible,6539,6540,6541,6542,left,,,
Reduncini,Kobus,ellipsiprymnus,,TM,3290,,mandible,6543,6544,6545,6546,left,,,
Reduncini,Kobus,ellipsiprymnus,,TM,AZ 1160,,mandible,6547,6548,6549,6550,left,,,
Reduncini,Kobus,ellipsiprymnus,,TM,12080,,mandible,6551L,6552L,6553L,6554,right,,,
Reduncini,Kobus,ellipsiprymnus,,TM,4216,,mandible,6555L,6556L,6557L,6558,right,,,
Reduncini,Kobus,ellipsiprymnus,,TM,13110,,mandible,6559L,6560L,6561L,6562,right,,,
Reduncini,Kobus,ellipsiprymnus,,TM,12074,,mandible,6563,6564,6565,6566,left,,,
Reduncini,Kobus,ellipsiprymnus,,TM,13103,,mandible,6567,6568,6569,6570,left,6569 broken,,
Reduncini,Kobus,ellipsiprymnus,,TM,13195,,mandible,6571,6572,6573,6574,left,,,
,,,,,,,,,,1,2,,,,
