,Genus,species,Institution,No.,Origin,Element,3rd Molar,2nd Molar,1st Molar,4 Premolar,Side,,
Reduncini,Redunca,arundinum,NMB,214,,maxilla,3450L,3451L,3452L,3453,right,,
Reduncini,Redunca,arundinum,NMB,203,,maxilla,3454L,3455L,3456L,,right,,
Reduncini,Redunca,arundinum,NMB,911,,maxilla,,3457L,3458L,,right,,
Reduncini,Redunca,arundinum,NMB,207,,maxilla,3459L,3460L,3461L,,right,,
Reduncini,Redunca,arundinum,NMB,212,,maxilla,3462L,3463L,3464L,,right,,
Reduncini,Redunca,arundinum,NMB,204,,maxilla,3465L,3466,,,right,don't use 3466,
Reduncini,Redunca,arundinum,NMB,A 1309,,maxilla,,3467,3468,3469,left,,
Reduncini,Redunca,arundinum,NMB,553,,maxilla,3471,3472,3473,3474,left,,
Reduncini,Redunca,arundinum,NMB,206,,maxilla,3475,3476,,,left,,
Reduncini,Redunca,arundinum,NMB,215,,maxilla,3477,3478,,,left,,
Reduncini,Redunca,arundinum,NMB,8706,,maxilla,3479,3480,3481,3482,left,,
Reduncini,Redunca,arundinum,NMB,205,,maxilla,3483,3484,,,left,,
Reduncini,Redunca,arundinum,NMB,202,,maxilla,3485,3486,3487,3488,left,,
Reduncini,Redunca,arundinum,NMB,208,,maxilla,3489,3490,3491,3492,left,,
Reduncini,Redunca,arundinum,TM,3122,,maxilla,6285,6286,6287,6288,left,,
Reduncini,Redunca,arundinum,TM,17154,,maxilla,6289,6290,6291,6292,left,,
Reduncini,Redunca,arundinum,TM,11491,,maxilla,6309,6310,6311,6312,left,,
Reduncini,Redunca,arundinum,TM,13236,,maxilla,6313,6314,6315,6316,left,,
Reduncini,Redunca,arundinum,TM,17149,,maxilla,6317,6318,6319,6320,left,,
Reduncini,Redunca,arundinum,TM,3114,,maxilla,6321,6322,6323,6324,left,,
Reduncini,Redunca,arundinum,TM,16654,,maxilla,6325,6326,6327,6328,left,,
Reduncini,Redunca,arundinum,TM,13235,,maxilla,6329,6330,6331,6332,left,,
Reduncini,Redunca,arundinum,TM,4255,,maxilla,6333,6334,6335,,left,,
Reduncini,Redunca,arundinum,TM,3475,,maxilla,6336,6337,6338,6339,left,,
Reduncini,Redunca,arundinum,TM,13238,,maxilla,6340L,6341L,6342L,6343,right,,
Reduncini,Redunca,arundinum,TM,17092,,maxilla,6344,6345,6346,6347,left,,
Reduncini,Redunca,arundinum,TM,AZ 1068,,maxilla,6348,,6349,6350,left,,
Reduncini,Redunca,arundinum,TM,3118,,maxilla,6351,6352,6353,,left,,
Reduncini,Redunca,arundinum,TM,698,,maxilla,6354,6355,6356,,left,,
Reduncini,Redunca,arundinum,TM,AZ 63,,maxilla,6357,6358,,6359,left,,
Reduncini,Redunca,arundinum,TM,AZ 59,,maxilla,6360,6361,,6362 RIGHT,left,,
Reduncini,Redunca,arundinum,TM,AZ 2306,,maxilla,6363,6364,6365,6367,left,,
,,,,,,,,,,,,,
Reduncini,Redunca,arundinum,TM,AZ 110,,maxilla,6368,6369,6370,6371,left,,
Reduncini,Redunca,arundinum,TM,AZ 105,,maxilla,6372,6373,6374,6375,left,weird premolar,
,,,,,,,,,4,9,,,
,,,,,,,,,,,,,
Reduncini,Redunca,arundinum,NMB,8910,,mandible,3506,3507,3508,3509,left,,
Reduncini,Redunca,arundinum,NMB,8911,,mandible,3406,3407,3408,3409,left,,
Reduncini,Redunca,arundinum,NMB,8915,,mandible,3410,3411,3412,3413,left,,
Reduncini,Redunca,arundinum,NMB,8913,,mandible,3415L,3416L,3417L,3418,right,,
Reduncini,Redunca,arundinum,NMB,8898,,mandible,3419L,3420L,,3421,right,,
Reduncini,Redunca,arundinum,NMB,8914,,mandible,3422L,3423L,3424L,3425,right,,
Reduncini,Redunca,arundinum,NMB,8908,,mandible,3426L,3431L,3428L,3430,right,,
Reduncini,Redunca,arundinum,NMB,8907,,mandible,3432,3434,3435,3436,left,,
Reduncini,Redunca,arundinum,NMB,8905,,mandible,3438L,3439L,3440L,,right,,
Reduncini,Redunca,arundinum,NMB,8904,,mandible,3441,3442,3443,3444,left,,
Reduncini,Redunca,arundinum,NMB,8906,,mandible,3445,3446,3447,3448,left,,
Reduncini,Redunca,arundinum,NMB,208,,mandible,3493,,3494,3495,left,,
Reduncini,Redunca,arundinum,NMB,214,,mandible,3496L,3497L,3498L,,right,,
Reduncini,Redunca,arundinum,NMB,209,,mandible,3499,3500,3501,3502,left,,
Reduncini,Redunca,arundinum,NMB,8706,,mandible,3503L,3504L,,3505,right,,
Reduncini,Redunca,arundinum,TM,3122,,mandible,6376,6377,6378,6379,left,,
Reduncini,Redunca,arundinum,TM,17154,,mandible,6380,6381,6382,6383,left,,
Reduncini,Redunca,arundinum,TM,16659,,mandible,6384,6385,6386,6387,left,,
Reduncini,Redunca,arundinum,TM,4255,,mandible,6388L,6389L,6390L,,right,,
Reduncini,Redunca,arundinum,TM,13238,,mandible,6391L,6392L,6393L,6394,right,,
Reduncini,Redunca,arundinum,TM,AZ 105,,mandible,6395L,6396L,6397L/6398,6399/6400,right,,
Reduncini,Redunca,arundinum,TM,698,,mandible,6401,6402,6403,6404,left,,
Reduncini,Redunca,arundinum,TM,13237,,mandible,6405,6406,6407,6408,left,,
Reduncini,Redunca,arundinum,TM,13265,,mandible,6409,6410,6411,6412,left,,
Reduncini,Redunca,arundinum,TM,17092,,mandible,6413,6414,6415,6416,left,,
Reduncini,Redunca,arundinum,TM,13240,,mandible,6417,6418,6419,6420,left,"6419 is too worn, don’t use",
Reduncini,Redunca,arundinum,TM,AZ 1068,,mandible,6421,6422L,6423L,6424,left,6422 is right,6423 is right
,Redunca,arundinum,,,,mandible,,,,,,,
,Redunca,arundinum,,,,mandible,,,,,,,
,Redunca,arundinum,,,,mandible,,,,,,,
,,,,,,,3,4,5,6,,,
